ID,Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Speed Limit,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Accident Severity,Traffic Volume,Road Condition,Accident Cause,Region,Vehicle Type
1668,China,2023,August,Saturday,Afternoon,Rural,Main Road,Clear,168.05141276071896,53,0.0746329972495012,0,Good,Moderate,9989.139003424696,Snow-covered,Mechanical Failure,Europe,Car
1669,Canada,2024,February,Sunday,Evening,Urban,Main Road,Windy,266.19120570820803,104,0.2219259115036356,1,Poor,Minor,4986.183419526325,Snow-covered,Mechanical Failure,Europe,Motorcycle
1670,UK,2012,December,Friday,Morning,Rural,Main Road,Clear,50.60496178095134,51,0.0160062013305425,0,Moderate,Minor,9454.529427135009,Dry,Mechanical Failure,Asia,Car
1671,Australia,2010,January,Wednesday,Morning,Urban,Main Road,Clear,428.25900327407794,88,0.2327193742429815,0,Good,Minor,1820.0546696843705,Dry,Distracted Driving,Asia,Truck
1672,USA,2002,November,Sunday,Afternoon,Rural,Main Road,Windy,391.049782994669,68,0.1000994340038164,0,Poor,Minor,7866.106076125763,Snow-covered,Mechanical Failure,South America,Car
1673,UK,2006,September,Wednesday,Evening,Rural,Main Road,Clear,97.250565180368,114,0.0395794389085809,1,Moderate,Minor,6488.681531204106,Dry,Mechanical Failure,Europe,Truck
1674,India,2002,July,Friday,Morning,Urban,Street,Clear,485.1764347350775,36,0.0717565042317454,0,Good,Moderate,4457.898526665725,Wet,Weather,Europe,Truck
1675,Russia,2023,February,Saturday,Morning,Rural,Street,Rainy,374.9361474314323,57,0.2225282245874644,1,Moderate,Severe,2069.978013942189,Snow-covered,Speeding,Asia,Bicycle
1676,India,2002,August,Monday,Evening,Urban,Highway,Snowy,329.9844936173268,90,0.1616436822804508,0,Good,Severe,5944.909937477446,Dry,Distracted Driving,Asia,Car
1677,Canada,2018,June,Thursday,Night,Urban,Street,Windy,134.86218670901184,49,0.0655607782107836,0,Moderate,Severe,3189.8055859027872,Dry,Speeding,Asia,Bicycle
1678,India,2006,April,Saturday,Evening,Rural,Street,Windy,421.90351464717605,110,0.0910182305640673,0,Poor,Minor,4416.338974520515,Dry,Distracted Driving,North America,Motorcycle
1679,Australia,2021,May,Monday,Morning,Urban,Street,Rainy,145.0511503855033,57,0.0145213004499152,0,Moderate,Minor,1594.2732574466916,Icy,Mechanical Failure,Asia,Bicycle
1680,Russia,2013,June,Thursday,Morning,Urban,Street,Rainy,431.56803621487256,67,0.1674292332956139,1,Moderate,Severe,1870.1213631309245,Snow-covered,Drunk Driving,Asia,Car
1681,Russia,2008,June,Saturday,Night,Urban,Main Road,Clear,232.08015899035735,74,0.1140078313644805,1,Good,Moderate,1706.1773648498524,Wet,Speeding,Australia,Truck
1682,China,2018,March,Friday,Afternoon,Urban,Highway,Rainy,392.1010393081028,117,0.1411326576602878,1,Moderate,Minor,3124.2426050776767,Icy,Drunk Driving,Asia,Car
1683,Germany,2004,February,Thursday,Night,Urban,Street,Foggy,480.6723687085516,38,0.1015975206316794,0,Good,Moderate,5088.730444099679,Snow-covered,Distracted Driving,Australia,Bicycle
1684,UK,2024,March,Friday,Afternoon,Urban,Main Road,Snowy,414.3816818809256,94,0.1758842554239716,0,Moderate,Moderate,6722.716525212938,Dry,Weather,Europe,Bicycle
1685,Germany,2008,December,Sunday,Morning,Urban,Main Road,Windy,225.67064057295025,55,0.1096545332671783,0,Moderate,Moderate,6869.047394557977,Dry,Weather,North America,Car
1686,Brazil,2012,December,Monday,Evening,Rural,Street,Snowy,255.1570342003828,74,0.1243776194664078,0,Poor,Minor,1429.422134091999,Dry,Speeding,Asia,Bicycle
1687,USA,2007,April,Thursday,Night,Rural,Highway,Clear,103.55788715179276,56,0.1439533000073671,1,Moderate,Minor,4200.221599554347,Snow-covered,Speeding,Europe,Bicycle
1688,Brazil,2015,February,Monday,Morning,Rural,Street,Rainy,412.6908854224328,71,0.0203920728039245,0,Moderate,Severe,480.87493337974655,Wet,Distracted Driving,North America,Car
1689,Russia,2014,July,Thursday,Evening,Rural,Highway,Clear,85.52083439063873,109,0.1260827403543166,1,Moderate,Severe,4560.339664233642,Snow-covered,Drunk Driving,South America,Truck
1690,Canada,2013,July,Thursday,Morning,Urban,Highway,Windy,55.74762257644183,68,0.1858037761288787,1,Poor,Minor,5661.761746546949,Icy,Mechanical Failure,Asia,Truck
1691,Germany,2007,August,Tuesday,Afternoon,Rural,Street,Rainy,269.7801375692445,35,0.0656026091006574,0,Poor,Severe,5037.894252422004,Icy,Weather,North America,Truck
1692,UK,2023,June,Monday,Morning,Rural,Street,Snowy,291.7310702329114,109,0.1041388381232015,1,Poor,Minor,8445.149341452638,Dry,Drunk Driving,Asia,Bicycle
1693,UK,2016,March,Saturday,Night,Urban,Street,Rainy,254.2645396819959,34,0.123312921228112,1,Poor,Minor,2265.0030993774,Icy,Drunk Driving,Australia,Motorcycle
1694,Canada,2003,April,Friday,Evening,Rural,Street,Foggy,120.47693284742992,53,0.1455679783956032,1,Poor,Moderate,5453.3593790565465,Wet,Distracted Driving,South America,Motorcycle
1695,Australia,2005,December,Wednesday,Night,Rural,Street,Windy,179.4467716102404,110,0.1850808206898379,0,Moderate,Severe,6867.344781165552,Snow-covered,Weather,North America,Truck
1696,Brazil,2007,March,Wednesday,Evening,Urban,Main Road,Rainy,494.26228132594485,94,0.1532844998370545,1,Moderate,Severe,9512.683195090056,Dry,Drunk Driving,Australia,Truck
1697,Brazil,2006,September,Saturday,Night,Urban,Main Road,Foggy,341.3150293650365,62,0.1855113031465921,0,Poor,Minor,4288.43972051825,Icy,Distracted Driving,Europe,Bicycle
1698,Russia,2006,December,Sunday,Night,Urban,Highway,Clear,472.54220167117336,34,0.237898518426701,1,Poor,Severe,2601.206532745124,Icy,Mechanical Failure,South America,Motorcycle
1699,India,2017,December,Saturday,Night,Urban,Highway,Windy,412.3781542060341,66,0.2264423274191743,1,Poor,Moderate,7967.376730166883,Wet,Mechanical Failure,Australia,Car
1700,Russia,2017,November,Thursday,Night,Rural,Main Road,Windy,151.50676376166768,72,0.0941670674160882,0,Good,Minor,5572.030478595847,Snow-covered,Weather,North America,Motorcycle
1701,Brazil,2006,March,Sunday,Night,Urban,Highway,Foggy,53.676789321636704,90,0.1740533750391097,1,Good,Severe,8574.128828018404,Snow-covered,Distracted Driving,Australia,Motorcycle
1702,UK,2019,August,Wednesday,Night,Urban,Street,Windy,353.1742106343545,65,0.1561773737222709,0,Moderate,Severe,3335.9857289560587,Snow-covered,Mechanical Failure,Europe,Bicycle
1703,Germany,2010,February,Monday,Afternoon,Urban,Main Road,Snowy,465.26173557538783,67,0.0286949622255945,1,Moderate,Moderate,1144.1085996646527,Snow-covered,Distracted Driving,Australia,Motorcycle
1704,India,2001,September,Wednesday,Afternoon,Rural,Main Road,Foggy,477.93666783474873,48,0.0720495284949691,0,Moderate,Severe,5224.8160432404975,Wet,Speeding,Australia,Bicycle
1705,Russia,2024,June,Saturday,Evening,Rural,Street,Rainy,315.67536501305966,96,0.0028634351914041,1,Poor,Moderate,5085.012944569504,Wet,Weather,South America,Bicycle
1706,Germany,2006,March,Friday,Afternoon,Rural,Main Road,Foggy,140.38511421542188,39,0.0586213522094202,1,Moderate,Minor,1211.829316602171,Dry,Drunk Driving,Europe,Motorcycle
1707,Canada,2007,February,Saturday,Morning,Rural,Main Road,Foggy,425.871782740553,36,0.0357779464837905,0,Good,Moderate,7126.199527629254,Wet,Speeding,Australia,Motorcycle
1708,Canada,2007,January,Saturday,Morning,Rural,Highway,Windy,113.32348835835722,40,0.0715075354204089,1,Good,Severe,1794.2402360286005,Icy,Distracted Driving,South America,Car
1709,UK,2009,January,Sunday,Afternoon,Urban,Street,Clear,445.82504636202384,42,0.1958171615281936,0,Poor,Minor,604.413203024057,Snow-covered,Speeding,Australia,Motorcycle
1710,UK,2003,June,Wednesday,Morning,Urban,Street,Clear,440.0586104035217,82,0.2018809815686224,0,Moderate,Minor,652.5934029435286,Icy,Distracted Driving,South America,Truck
1711,Germany,2019,July,Friday,Morning,Urban,Street,Rainy,393.4462708108572,117,0.1207810879336053,0,Good,Moderate,4130.329654660931,Dry,Weather,North America,Car
1712,Germany,2000,November,Wednesday,Afternoon,Urban,Street,Foggy,59.30033897022496,70,0.0908017800987655,0,Moderate,Minor,9846.695638681207,Snow-covered,Drunk Driving,Asia,Motorcycle
1713,Australia,2020,July,Monday,Afternoon,Rural,Street,Windy,349.8162580894441,51,0.2442672686204453,1,Moderate,Moderate,4442.380487335188,Icy,Drunk Driving,South America,Motorcycle
1714,China,2002,January,Wednesday,Afternoon,Rural,Highway,Windy,221.70025502371607,41,0.0651104571488207,0,Good,Moderate,2384.4072022059504,Snow-covered,Drunk Driving,Australia,Bicycle
1715,India,2000,August,Thursday,Morning,Urban,Street,Rainy,280.69731604628885,87,0.2429318939534005,0,Good,Severe,8592.696547296557,Dry,Drunk Driving,Australia,Motorcycle
1716,Canada,2006,January,Thursday,Afternoon,Urban,Main Road,Rainy,240.13991086241148,110,0.2407036606934408,0,Moderate,Severe,9722.807103195946,Wet,Mechanical Failure,Asia,Truck
1717,Brazil,2009,July,Monday,Night,Rural,Main Road,Rainy,497.5978277163196,114,0.243872158917744,0,Moderate,Moderate,9505.10110445831,Wet,Drunk Driving,South America,Motorcycle
1718,India,2024,December,Tuesday,Afternoon,Rural,Highway,Snowy,98.65299832260676,104,0.1102762123871436,0,Good,Severe,9420.509091949296,Wet,Weather,South America,Car
1719,Canada,2001,November,Friday,Night,Urban,Street,Foggy,430.3904885987794,109,0.2141038452457592,0,Good,Severe,4251.510372277656,Icy,Weather,Australia,Car
1720,Australia,2001,July,Sunday,Afternoon,Rural,Street,Clear,123.31362386355698,75,0.089828034124637,1,Moderate,Severe,2217.374810926939,Wet,Speeding,Asia,Car
1721,Germany,2001,October,Friday,Evening,Urban,Street,Windy,61.76864383928514,61,0.0398893573111341,1,Good,Minor,1735.6742236902178,Snow-covered,Drunk Driving,North America,Motorcycle
1722,India,2020,April,Wednesday,Evening,Urban,Highway,Snowy,321.55804678168147,82,0.0078460773228352,0,Good,Severe,6190.623043184048,Icy,Drunk Driving,North America,Car
1723,Australia,2003,August,Monday,Morning,Urban,Street,Foggy,373.0373934572726,115,0.1125389409447822,1,Poor,Severe,4097.48405158318,Icy,Distracted Driving,Europe,Truck
1724,UK,2015,April,Tuesday,Morning,Rural,Highway,Snowy,94.39977147031152,92,0.0310050145570055,1,Good,Severe,4932.265422848478,Icy,Weather,Australia,Truck
1725,Russia,2013,November,Tuesday,Evening,Urban,Highway,Windy,305.8270046547759,103,0.1939634152941632,1,Poor,Severe,9659.419566833354,Dry,Distracted Driving,Asia,Car
1726,Russia,2015,December,Tuesday,Evening,Urban,Street,Clear,200.6370980669654,86,0.1054222132786107,1,Moderate,Moderate,4194.622846700797,Snow-covered,Drunk Driving,North America,Car
1727,Russia,2005,March,Wednesday,Morning,Urban,Highway,Clear,255.62611160911555,67,0.1299057975826191,1,Poor,Moderate,6883.181492858971,Dry,Speeding,Europe,Motorcycle
1728,India,2022,November,Wednesday,Night,Rural,Main Road,Windy,321.17650631569904,87,0.0267162223369546,0,Poor,Severe,6895.484611151513,Wet,Distracted Driving,South America,Motorcycle
1729,USA,2007,December,Saturday,Morning,Urban,Street,Snowy,436.9173029576705,80,0.1995281801483867,0,Moderate,Severe,5078.817490390393,Dry,Distracted Driving,South America,Motorcycle
1730,India,2019,October,Saturday,Evening,Urban,Highway,Windy,361.0696617931219,30,0.0410490712044023,0,Moderate,Moderate,569.8562385314481,Icy,Drunk Driving,North America,Truck
1731,Brazil,2024,May,Wednesday,Morning,Urban,Highway,Snowy,181.89316186290552,46,0.1665703481615892,0,Good,Moderate,4364.981306457664,Snow-covered,Distracted Driving,Europe,Car
1732,UK,2008,March,Sunday,Morning,Rural,Street,Rainy,186.1537499758491,60,0.0402293559739537,1,Good,Minor,5313.7045405135605,Icy,Mechanical Failure,North America,Bicycle
1733,India,2021,January,Wednesday,Evening,Urban,Main Road,Rainy,310.85321646820955,59,0.0230397541406624,0,Good,Moderate,4020.3298818364897,Dry,Drunk Driving,North America,Truck
1734,USA,2001,December,Friday,Evening,Urban,Main Road,Windy,327.35724410748,46,0.0355422452220314,0,Poor,Minor,5887.647292175036,Snow-covered,Speeding,Asia,Bicycle
1735,UK,2004,July,Monday,Afternoon,Urban,Main Road,Foggy,227.8308192674972,80,0.2215557109121361,1,Moderate,Severe,6661.800705860703,Wet,Drunk Driving,Europe,Car
1736,UK,2004,April,Thursday,Morning,Urban,Highway,Rainy,486.4840116155897,79,0.1085419509937947,0,Good,Minor,6181.17782157645,Wet,Weather,Asia,Truck
1737,Japan,2024,December,Sunday,Morning,Rural,Street,Rainy,393.7909671149524,93,0.1474803942386726,0,Good,Moderate,5728.064976136558,Wet,Mechanical Failure,Asia,Truck
1738,China,2013,August,Monday,Evening,Rural,Highway,Windy,376.7435637846638,37,0.0023435733299174,0,Moderate,Severe,1644.4982607809986,Wet,Weather,Europe,Truck
1739,China,2020,June,Saturday,Evening,Rural,Main Road,Rainy,116.77561286737895,42,0.0943059019697977,1,Good,Severe,2307.3664528125128,Snow-covered,Speeding,Australia,Car
1740,India,2006,April,Friday,Afternoon,Rural,Street,Clear,205.9422721749542,79,0.1673554597802132,1,Poor,Minor,6727.098006553599,Snow-covered,Weather,North America,Truck
1741,Japan,2012,July,Wednesday,Morning,Urban,Main Road,Foggy,256.5702081365905,61,0.2017498334756765,1,Good,Moderate,1300.598543369833,Dry,Drunk Driving,South America,Truck
1742,USA,2002,February,Sunday,Afternoon,Rural,Street,Foggy,345.6035613993108,99,0.108234865950681,0,Poor,Minor,1187.8150439117203,Wet,Mechanical Failure,South America,Motorcycle
1743,India,2013,September,Friday,Evening,Rural,Highway,Foggy,398.07665037507394,57,0.202914887718088,0,Poor,Moderate,3854.4898059744996,Dry,Speeding,Australia,Motorcycle
1744,USA,2017,February,Tuesday,Night,Rural,Main Road,Foggy,68.84915419406295,119,0.2099461895638313,1,Moderate,Minor,1799.9227695418447,Wet,Distracted Driving,Europe,Car
1745,Russia,2019,April,Monday,Morning,Urban,Main Road,Foggy,137.64356852064924,43,0.0320170580122529,1,Good,Moderate,397.1971324219414,Dry,Drunk Driving,North America,Car
1746,India,2009,May,Tuesday,Afternoon,Urban,Highway,Foggy,80.16048181547845,89,0.0810427396181363,0,Moderate,Minor,805.1152577656994,Snow-covered,Weather,Australia,Truck
1747,USA,2008,May,Monday,Evening,Urban,Highway,Foggy,94.47863063992,82,0.19674164763403,0,Poor,Minor,3858.8887454784162,Icy,Weather,Europe,Motorcycle
1748,Brazil,2019,January,Monday,Night,Rural,Highway,Foggy,164.423761686791,75,0.1398740691690682,0,Moderate,Minor,2788.160931779964,Icy,Speeding,North America,Bicycle
1749,India,2023,December,Friday,Night,Rural,Highway,Windy,169.93644024649726,95,0.0638492965107082,0,Good,Moderate,6577.343557777924,Dry,Drunk Driving,South America,Truck
1750,India,2022,June,Friday,Evening,Rural,Highway,Foggy,421.4486898603063,46,0.2191251202846666,0,Good,Moderate,6521.764792213421,Snow-covered,Mechanical Failure,Asia,Car
1751,India,2023,September,Thursday,Morning,Urban,Main Road,Foggy,410.9171694821966,70,0.1829854162058458,0,Good,Moderate,1969.193130673168,Wet,Distracted Driving,North America,Truck
1752,Canada,2000,October,Thursday,Evening,Rural,Main Road,Foggy,269.0862046691521,55,0.1208475872050676,1,Poor,Moderate,514.7318329033975,Dry,Drunk Driving,North America,Car
1753,Japan,2014,December,Tuesday,Night,Urban,Main Road,Clear,287.8218391101564,74,0.0536654633252682,0,Poor,Moderate,5867.953036847701,Icy,Drunk Driving,Europe,Motorcycle
1754,Japan,2011,October,Sunday,Morning,Urban,Main Road,Rainy,455.1251133788389,38,0.0640570915247153,1,Moderate,Moderate,6353.770982476916,Dry,Distracted Driving,Australia,Car
1755,Japan,2018,January,Thursday,Morning,Urban,Main Road,Clear,56.69968962183991,77,0.1274239431574022,0,Moderate,Severe,232.56843644281255,Wet,Mechanical Failure,South America,Bicycle
1756,Brazil,2000,November,Saturday,Afternoon,Urban,Main Road,Snowy,495.88519339969565,48,0.1223139644593127,1,Poor,Minor,5783.112546176426,Snow-covered,Mechanical Failure,South America,Bicycle
1757,Brazil,2000,May,Thursday,Afternoon,Rural,Highway,Snowy,387.5251372644206,68,0.1904666789101784,1,Good,Severe,2948.662262089981,Icy,Drunk Driving,North America,Truck
1758,Germany,2012,April,Sunday,Afternoon,Rural,Main Road,Foggy,326.0648442155892,44,0.1742980130191038,1,Good,Severe,4836.89931523658,Dry,Speeding,South America,Bicycle
1759,Australia,2006,June,Saturday,Afternoon,Urban,Highway,Rainy,202.8701267887302,33,0.2191662664283347,1,Good,Severe,2352.2761492744266,Icy,Drunk Driving,Australia,Motorcycle
1760,Australia,2008,May,Friday,Evening,Urban,Main Road,Foggy,430.3004111206709,85,0.0506677564050576,1,Poor,Moderate,978.1026048559697,Icy,Distracted Driving,North America,Motorcycle
1761,UK,2004,April,Friday,Afternoon,Rural,Main Road,Rainy,495.438492692446,36,0.2102146834951831,1,Poor,Minor,9403.295222853083,Wet,Distracted Driving,Asia,Bicycle
1762,Australia,2014,April,Monday,Afternoon,Rural,Street,Snowy,134.25142023860474,31,0.2296793675928284,0,Moderate,Severe,7999.578973561281,Dry,Drunk Driving,North America,Truck
1763,Russia,2006,February,Tuesday,Morning,Urban,Street,Rainy,198.0082295072171,89,0.114557765848132,0,Poor,Moderate,1513.1936797907508,Dry,Drunk Driving,Australia,Truck
1764,Germany,2015,February,Wednesday,Morning,Rural,Street,Foggy,228.4301407623533,63,0.1176171663287898,1,Poor,Severe,3076.49889040466,Icy,Mechanical Failure,Europe,Bicycle
1765,UK,2021,January,Tuesday,Night,Rural,Street,Rainy,103.08501511409472,49,0.2095876580241468,0,Poor,Severe,4708.884296309843,Dry,Drunk Driving,South America,Truck
1766,Canada,2017,May,Tuesday,Night,Urban,Street,Rainy,337.91711620086494,58,0.0488342721785647,0,Good,Minor,1728.4605584847573,Snow-covered,Mechanical Failure,South America,Car
1767,Canada,2019,February,Thursday,Night,Rural,Main Road,Clear,75.34639432836813,97,0.2241891681183005,0,Good,Moderate,8220.03412564496,Snow-covered,Drunk Driving,North America,Car
1768,Germany,2010,November,Tuesday,Afternoon,Urban,Highway,Foggy,228.03527928214945,88,0.0579116034590797,0,Good,Severe,5364.376651349839,Snow-covered,Drunk Driving,Asia,Car
1769,India,2009,June,Friday,Morning,Rural,Main Road,Windy,127.96822703095891,53,0.1334511070877332,0,Poor,Moderate,1293.0174082913788,Dry,Distracted Driving,Asia,Car
1770,India,2013,August,Sunday,Morning,Urban,Street,Windy,344.0350254857979,93,0.1735633450482485,0,Poor,Minor,3343.909696259343,Icy,Weather,South America,Truck
1771,Germany,2008,August,Thursday,Afternoon,Rural,Highway,Snowy,137.9050877322834,88,0.0532157589894424,0,Good,Moderate,7698.908979807333,Icy,Drunk Driving,Australia,Car
1772,UK,2024,December,Sunday,Morning,Urban,Main Road,Snowy,251.63595984864935,40,0.1194385741927697,0,Good,Severe,7271.654055200999,Snow-covered,Weather,Asia,Motorcycle
1773,Japan,2008,February,Thursday,Night,Rural,Street,Snowy,345.4283384740736,64,0.0252396993906719,1,Moderate,Minor,7727.286543246023,Dry,Mechanical Failure,Europe,Car
1774,UK,2020,August,Wednesday,Afternoon,Rural,Highway,Clear,156.27652590077838,76,0.1016099718353162,1,Good,Minor,675.9491414704763,Snow-covered,Drunk Driving,South America,Motorcycle
1775,Germany,2011,April,Wednesday,Evening,Urban,Highway,Windy,266.4186439670078,39,0.0161143691718502,0,Poor,Minor,1900.4895846863037,Icy,Drunk Driving,Australia,Bicycle
1776,Canada,2005,May,Monday,Morning,Rural,Highway,Foggy,392.15746166795554,36,0.0143248461973414,1,Good,Severe,6065.026713801693,Wet,Mechanical Failure,South America,Truck
1777,Australia,2002,September,Saturday,Night,Rural,Street,Snowy,137.61052435538727,52,0.076381481805011,1,Poor,Moderate,4610.059944113065,Snow-covered,Speeding,Asia,Truck
1778,Canada,2019,June,Wednesday,Morning,Rural,Main Road,Foggy,392.9655062261818,74,0.1543921354691875,0,Good,Moderate,4376.547471391253,Icy,Weather,Australia,Truck
1779,Germany,2004,September,Friday,Morning,Rural,Main Road,Windy,213.3145450924835,45,0.0301179282118626,1,Good,Moderate,4017.0571525046826,Dry,Speeding,Australia,Bicycle
1780,India,2002,May,Tuesday,Morning,Rural,Highway,Rainy,374.0221417951805,52,0.1318808673097627,1,Good,Minor,4303.785069877682,Wet,Weather,South America,Truck
1781,Canada,2015,February,Thursday,Morning,Rural,Highway,Windy,284.4251620083727,109,0.1060556304317839,0,Poor,Minor,6079.023143316391,Snow-covered,Drunk Driving,South America,Truck
1782,Russia,2015,November,Monday,Night,Rural,Highway,Snowy,105.5608322427403,102,0.0266061186408579,1,Poor,Moderate,9430.440785699002,Dry,Mechanical Failure,Australia,Truck
1783,China,2003,November,Saturday,Afternoon,Urban,Highway,Rainy,59.07795630466492,78,0.2009157247557119,0,Moderate,Moderate,8897.624446917285,Dry,Distracted Driving,Europe,Bicycle
1784,USA,2013,July,Saturday,Night,Urban,Highway,Snowy,73.40500159569918,99,0.0955450908266147,0,Moderate,Severe,6068.639514759086,Wet,Weather,North America,Bicycle
1785,Brazil,2007,May,Tuesday,Evening,Urban,Main Road,Foggy,114.53451326336264,65,0.0772353718822534,1,Good,Moderate,5920.691527350711,Wet,Mechanical Failure,Australia,Bicycle
1786,India,2012,February,Thursday,Afternoon,Rural,Street,Windy,466.6311864073556,79,0.228134040488865,1,Good,Severe,252.33875057191392,Snow-covered,Distracted Driving,Australia,Car
1787,Germany,2021,March,Sunday,Morning,Rural,Main Road,Snowy,318.18995365270365,49,0.2442028399937411,0,Poor,Severe,1540.3588966538944,Snow-covered,Distracted Driving,Asia,Car
1788,Australia,2007,February,Thursday,Evening,Rural,Street,Windy,408.3526110962614,61,0.2399766212153202,1,Good,Severe,2484.6840419207297,Icy,Mechanical Failure,North America,Bicycle
1789,Japan,2021,September,Thursday,Morning,Rural,Highway,Foggy,318.9297499211863,81,0.2220741405231562,1,Moderate,Minor,1259.6274660744602,Dry,Speeding,North America,Truck
1790,Brazil,2022,February,Tuesday,Morning,Rural,Main Road,Foggy,330.06657887215744,71,0.2462623219024449,0,Good,Moderate,2620.00541749273,Icy,Mechanical Failure,Australia,Truck
1791,USA,2019,March,Saturday,Night,Rural,Street,Windy,441.6342114592992,35,0.0281467416503802,1,Good,Severe,2616.8956348488546,Dry,Drunk Driving,Asia,Bicycle
1792,Australia,2000,June,Thursday,Night,Rural,Highway,Rainy,457.0595446056004,80,0.0651865953701165,1,Poor,Moderate,2307.6810274416785,Snow-covered,Distracted Driving,South America,Truck
1793,UK,2017,October,Tuesday,Night,Urban,Highway,Windy,208.99422694442123,61,0.136096077895771,0,Moderate,Severe,4234.947740983517,Wet,Distracted Driving,Asia,Truck
1794,Japan,2002,September,Wednesday,Morning,Rural,Main Road,Snowy,367.0323955531709,35,0.1226754402042099,1,Good,Minor,5078.301135711938,Snow-covered,Drunk Driving,South America,Motorcycle
1795,USA,2018,October,Monday,Evening,Rural,Main Road,Clear,470.2771985805341,108,0.2450724814159307,1,Good,Severe,1340.196296202049,Icy,Mechanical Failure,Asia,Motorcycle
1796,Germany,2006,March,Wednesday,Afternoon,Rural,Highway,Clear,106.5895604090461,94,0.1437254531467063,0,Moderate,Moderate,9166.103079321349,Icy,Distracted Driving,Europe,Bicycle
1797,USA,2014,September,Tuesday,Night,Urban,Highway,Snowy,83.02232690578,106,0.051707589016976,0,Poor,Moderate,6971.660733950933,Snow-covered,Speeding,Asia,Motorcycle
1798,Australia,2007,November,Wednesday,Evening,Rural,Street,Snowy,386.9181000155998,115,0.020258309608787,1,Good,Minor,3872.4432471700966,Snow-covered,Speeding,South America,Car
1799,Russia,2000,September,Saturday,Evening,Rural,Street,Clear,133.10281599572005,106,0.0723191157135837,1,Poor,Minor,2790.715222870892,Snow-covered,Mechanical Failure,North America,Motorcycle
1800,Australia,2017,November,Friday,Morning,Rural,Street,Foggy,276.6991194579229,78,0.190249697184667,1,Poor,Minor,577.5029156537383,Snow-covered,Distracted Driving,South America,Car
1801,UK,2006,June,Monday,Night,Urban,Main Road,Windy,128.3726557113401,49,0.2053655566830294,0,Good,Moderate,3610.3062390180025,Snow-covered,Speeding,Australia,Motorcycle
1802,Russia,2020,July,Tuesday,Night,Rural,Street,Windy,481.4214769419148,102,0.1490192004779615,0,Good,Moderate,302.540545148713,Snow-covered,Drunk Driving,South America,Car
1803,India,2006,May,Monday,Afternoon,Rural,Highway,Foggy,240.07360904739173,112,0.117619350977067,1,Moderate,Moderate,7902.841489445596,Wet,Distracted Driving,South America,Truck
1804,Canada,2004,July,Thursday,Evening,Urban,Highway,Snowy,381.1145832608568,41,0.0995335950504118,0,Poor,Moderate,5749.530193086853,Icy,Mechanical Failure,North America,Bicycle
1805,Japan,2021,October,Wednesday,Evening,Rural,Main Road,Windy,496.61148611501983,74,0.0949589104688007,1,Moderate,Minor,7935.237519044955,Snow-covered,Mechanical Failure,Europe,Truck
1806,Japan,2001,March,Saturday,Morning,Rural,Highway,Clear,53.266154948872746,68,0.1420902540618457,0,Good,Severe,4606.950699459487,Wet,Weather,Europe,Bicycle
1807,Germany,2021,August,Thursday,Evening,Rural,Highway,Clear,105.29432625358938,96,0.2391220125125881,1,Moderate,Minor,1557.657658532151,Snow-covered,Mechanical Failure,Australia,Truck
1808,India,2001,February,Wednesday,Night,Urban,Highway,Snowy,454.89957571831184,111,0.1529531102243349,0,Good,Severe,6242.0934531677,Snow-covered,Mechanical Failure,Asia,Bicycle
1809,Canada,2024,July,Wednesday,Night,Rural,Highway,Windy,203.63651591245687,84,0.165531714611705,1,Good,Severe,9714.622890334636,Dry,Drunk Driving,Europe,Truck
1810,USA,2019,February,Tuesday,Night,Rural,Highway,Clear,278.0464413940557,50,0.048345133893788,0,Poor,Moderate,856.6856704395434,Wet,Distracted Driving,Australia,Truck
1811,Brazil,2003,July,Wednesday,Morning,Rural,Main Road,Snowy,167.93198234167892,96,0.0375449140858326,1,Moderate,Minor,5235.31353294706,Snow-covered,Speeding,Australia,Car
1812,UK,2015,July,Saturday,Morning,Rural,Street,Windy,465.0981993702107,82,0.152138794234931,0,Poor,Severe,7133.8597183852435,Snow-covered,Distracted Driving,North America,Truck
1813,India,2011,August,Monday,Evening,Rural,Highway,Snowy,360.5674098800301,109,0.0620397523638784,0,Moderate,Severe,144.6422653368527,Snow-covered,Distracted Driving,South America,Truck
1814,Germany,2016,September,Monday,Afternoon,Urban,Main Road,Rainy,373.7835158400511,62,0.1789926718106872,1,Good,Severe,6881.048192028986,Icy,Mechanical Failure,Australia,Truck
1815,India,2007,March,Thursday,Evening,Rural,Highway,Rainy,268.0471463852849,111,0.2292842151224244,1,Moderate,Minor,8279.710910672417,Wet,Mechanical Failure,Australia,Motorcycle
1816,China,2004,September,Saturday,Morning,Urban,Highway,Foggy,178.9715925313175,43,0.2186293744396491,1,Poor,Moderate,2155.3011154912892,Snow-covered,Speeding,North America,Car
1817,India,2004,November,Monday,Afternoon,Rural,Highway,Snowy,233.1299443117186,119,0.215451447060762,0,Good,Moderate,5917.476399002373,Dry,Mechanical Failure,South America,Car
1818,Russia,2024,November,Thursday,Evening,Urban,Street,Snowy,424.1865249276389,75,0.0296145888638751,0,Moderate,Severe,7488.586457454388,Wet,Mechanical Failure,Asia,Car
1819,India,2020,September,Friday,Morning,Rural,Main Road,Snowy,224.94844894379733,115,0.149670615044495,1,Good,Minor,1532.9173949498806,Icy,Speeding,South America,Motorcycle
